pfrid,team,position,full_name,First*(actual_fantasy_points),fantasy_points_FP,fantasy_points_NFL,fantasy_points_CBS,fox,fantasy_points2,min,max,avg,opp_def_rank_nf,fantasy_points_nf,fantasy_points_fd,salary_fd,value_fd,overall_rank_nf,position_rank_nf,Confidence,opponent,FFPts,Grade,FanDuel (Projected points),FanDuel (Price),FanDuel ($/point),FanDuel (Value),performance,variability,changevs,homeaway,#,QB,#(2),RB,#(3),RB-PPR,#(4),WR,#(5),WR-PPR,#(6),TE,#(7),TE-PP,#(8),K,#(9),OFF,#(10),OFF-PPR,#(11),DEF
BradTo00,NE,QB,Tom Brady,19.26,22.126,23.67,19.748,16.7,17.328,18.86,30.34,25.05777778,10,20.95,21.97,9200,2.39,1,1,20.95,BUF,20.9,A-Game,21.6,9200,425,2.35,21.57342857,11.48,-3.484349206,1,8,14.8,20,19.9,17,24.5,13,21.8,17,35.5,6,5.1,7,9.5,3,5.9,8,67.5,12,90.2,18,7.7
McMaBr01,DEN,K,Brandon McManus,6,8,10,8,,,6,26,17.44444444,25,9.78,9.8,4800,,1,1,9.78,CHI,7.3,B-Game,7.3,4800,661.8,1.51,8.951428571,20,-8.493015873,2,20,17.1,11,15.9,11,20.2,16,23.4,14,35.3,7,5.2,5,9.1,28,8.5,16,70.1,11,90.1,26,9.4
CarrDe02,OAK,QB,Derek Carr,19.28,18.537,17.2,16.468,21,21.199,3.24,29.12,19.59333333,27,20.88,21.5,7700,2.79,2,2,20.88,DET,18.2,A-Game,18.9,7700,407.3,2.45,19.195,25.88,-0.398333333,2,31,21,23,20.8,19,25.6,27,26.6,27,41.9,26,10.5,26,16,21,7.8,31,86.7,31,112.3,20,8.2
WalsBl00,MIN,K,Blair Walsh,24,8,7,8,,,3,25,16.88888889,21,9.36,9.36,4900,,2,2,9.36,GB,7.1,B-Game,7.1,4900,694.1,1.44,8.311428571,22,-8.577460317,1,26,18.5,16,18.5,16,23.2,25,25.5,22,38,17,8.3,16,13.3,10,6.4,21,77.2,21,99.4,1,3.9
HausSt00,SEA,K,Steven Hauschka,19,9,10,8,,,9,26,17.22222222,29,9.1,9.11,5000,,3,3,9.1,SF,8.1,A-Game,8.1,5000,617.2,1.62,8.915714286,17,-8.306507937,1,25,18.1,26,21.1,28,28.4,24,25.3,25,38.5,18,8.4,20,13.9,7,6.2,24,79.1,27,105,29,9.9
RodgAa00,GB,QB,Aaron Rodgers,22.12,18.205,24.44,14.948,17.9,18.345,6.18,34.92,21.76666667,16,19.5,20.46,8900,2.3,3,3,19.5,MIN,18.5,A-Game,18.9,8900,472,2.12,19.42185714,28.74,-2.344809524,2,14,16.5,7,15.7,6,19.6,10,21.2,12,33.8,20,9,22,14.3,11,6.4,10,68.8,13,90.7,7,6.4
PalmCa00,ARI,QB,Carson Palmer,21.32,18.859,18.91,18.902,15.6,17.012,16.98,30.56,21.39555556,11,19.09,19.91,8200,2.43,4,4,19.09,CIN,17.9,A-Game,18.8,8200,437,2.29,19.08014286,13.58,-2.315412698,1,2,13.5,15,17.1,14,22.9,7,18.2,8,29.2,11,6.3,15,12.8,6,6,2,61,5,84.4,6,6.2
PratMa20,DET,K,Matt Prater,9,8,10,8,,,4,33,13.875,31,9.02,9.04,4500,,4,4,9.02,OAK,7.1,B-Game,7.1,4500,630.8,1.59,8.597142857,29,-5.277857143,1,27,18.9,24,20.9,26,27.7,14,22,21,36.7,31,12.9,32,18.7,31,10,30,84.6,30,112,17,7.7
NewtCa00,CAR,QB,Cam Newton,20.98,17.84,21.96,20.719,19.3,16.463,13.5,34.58,22.34222222,15,18.81,19.63,8600,2.28,5,5,18.81,WAS,20.8,A-Game,21.7,8600,395.9,2.53,19.92414286,21.08,-2.418079365,1,13,16.5,8,15.8,7,19.7,20,24.3,13,35.1,9,5.5,10,10.3,13,6.8,11,68.9,7,88.4,12,6.9
SantCa01,KC,K,Cairo Santos,31,9,10,8,,,9,39,19.77777778,28,8.87,8.88,5000,,5,5,8.87,SD,7.4,B-Game,7.4,5000,674.4,1.48,8.717142857,30,-11.06063492,2,19,17,32,25.3,32,30.8,8,18.9,7,28.7,25,9.6,21,14.3,29,8.8,25,79.6,22,99.5,24,8.9
SuccRy44,TEN,K,Ryan Succop,10,5,10,5,,,6,30,14.55555556,23,8.73,8.74,4500,,7,7,8.73,JAX,6.7,B-Game,6.7,4500,673.1,1.49,7.557142857,24,-6.998412698,2,21,17.2,22,20.6,27,27.8,15,22,16,35.5,23,9.3,23,14.5,24,8.2,22,77.3,25,103.1,30,10.6
WilsRu00,SEA,QB,Russell Wilson,17.8,14.712,15.75,15.676,21.5,18.535,13.4,23.04,16.57111111,29,18.68,19.44,7600,2.56,7,7,18.68,SF,17.8,A-Game,18.6,7600,409.3,2.44,17.36257143,9.64,0.791460317,1,25,18.1,26,21.1,28,28.4,24,25.3,25,38.5,18,8.4,20,13.9,7,6.2,24,79.1,27,105,29,9.9
CarpDa44,BUF,K,Dan Carpenter,17,8,10,8,,,11,32,19,14,8.33,8.36,4700,,8,8,8.33,NE,6.5,B-Game,6.5,4700,725.5,1.38,8.217142857,21,-10.78285714,2,23,17.4,6,13.9,10,20,21,24.4,23,38,14,7.8,14,12.8,5,6,14,69.5,15,94.2,2,4.5
